Rank,Name,Net worth,YTD Change,Industry,Gender,Continent
1,Jeff Bezos,108.6,-16.2,Technology,Male,North and South America
2,Bill Gates,104.9,15.6,Technology,Male,North and South America
3,Bernard Arnault,92.2,21.6,Consumer,Male,Europe
4,Warren Buffett,82.2,-1.64,Diversified,Male,North and South America
5,Amancio Ortega,68.3,7.81,Consumer,Male,Europe
6,Larry Ellison,67.1,10.1,Technology,Male,North and South America
7,Mark Zuckerberg,67,17.8,Technology,Male,North and South America
8,Carlos Slim,58.9,0.773,Diversified,Male,North and South America
9,Larry Page,55.5,7.66,Technology,Male,North and South America
10,Sergey Brin,53.6,7.35,Technology,Male,North and South America
11,Francoise Bettencourt Meyers,53.3,7.9,Consumer,Female,Europe
12,Jim Walton,52.9,9.35,Consumer,Male,North and South America
13,Alice Walton,52.6,9.8,Consumer,Female,North and South America
14,Rob Walton,52.5,9.71,Consumer,Male,North and South America
15,Steve Ballmer,51.4,12.7,Technology,Male,North and South America
16,Mukesh Ambani,51.1,6.91,Technology,Male,Asia
17,Michael Bloomerg,49.4,11.2,Media,Male,North and South America
18,Charles Koch,41.8,-0.145,Diversified,Male,North and South America
18,Julia Koch,41.8,0.402,Diversified,Female,North and South America
20,David Thomson,37.6,1.19,Media,Male,North and South America
21,Jack Ma,37.6,4.87,Technology,Male,Asia
22,Phil Knight & family,37.3,6.69,Consumer,Male,North and South America
23,Ma Huateng,36.5,0.926,Technology,Male,Asia
24,Sheldon Adelson,34.4,2.97,Media,Male,North and South America
25,MacKenzie Bezos,34.3,35,Technology,Female,North and South America
26,Beate Heister,33.9,3.99,Consumer,Female,Europe
27,Michael Dell,31,1.72,Technology,Male,North and South America
28,John Mars,29.9,11.1,Consumer,Male,North and South America
28,Jacqueline Mars,29.9,11.1,Consumer,Female,North and South America
30,François Pinault & family,29,3.02,Consumer,Male,Europe
31,Tadashi Yanai & family,28.7,2.83,Consumer,Male,Asia
32,Lee Shau Kee,28.1,1.54,Diversified,Male,Asia
33,Li Ka-shing,27.1,-0.854,Diversified,Male,Asia
34,Hui Ka Yan,26.8,-7.62,Diversified,Male,Asia
35,Leonid Mikhelson,26.4,3.4,Technology,Male,Europe
36,Jorge Paulo Lemann & family,24.6,4.98,Consumer,Male,North and South America
37,Joseph Safra,23.1,1.57,Diversified,Male,North and South America
38,Yang Huiyan,23.1,4.12,Diversified,Female,Asia
39,Leonardo Del Vecchio & family,23,3.26,Consumer,Male,Europe
40,Gennady Timchenko,22.2,3.35,Diversified,Male,Europe
41,He Xiangjian,22.1,4.83,Consumer,Male,Asia
42,Giovanni Ferrero,21.7,8.68,Consumer,Male,Europe
43,Jim Simons,21.6,5.15,Diversified,Male,North and South America
44,Laurene Powell Jobs & family,21.3,4.66,Media,Female,North and South America
45,Vagit Alekperov,20.8,2.46,Technology,Male,Europe
46,Wang Jianlin,20.5,-3.28,Diversified,Male,Asia
47,Vladimir Potanin,20.1,4.17,Commidities,Male,Europe
48,Elon Musk,19.7,-1.49,Technology,Male,North and South America
49,Vladimir Lisin,19.5,1.67,Diversified,Male,Europe
50,Alexey Mordashov,19.2,0.644,Diversified,Male,Europe
